feature,importance,feature_label,target_name,target_col,population,feature_set,model_type
grade_active_users_d0_3,1259,D0-D3 같은 학년 활동 유저 수,repeat_paid,repeat_paid_d4_plus,결제 유저,B4_관계망_발신_수신,LightGBM
class_users_d0_3,1190,D0-D3 같은 반 유저 수,repeat_paid,repeat_paid_d4_plus,결제 유저,B4_관계망_발신_수신,LightGBM
class_active_users_d0_3,370,D0-D3 같은 반 활동 유저 수,repeat_paid,repeat_paid_d4_plus,결제 유저,B4_관계망_발신_수신,LightGBM
received_vote_count_d0_3,86,D0-D3 수신 Ping 수,repeat_paid,repeat_paid_d4_plus,결제 유저,B4_관계망_발신_수신,LightGBM
received_vote_days_d0_3,33,D0-D3 수신 발생일수,repeat_paid,repeat_paid_d4_plus,결제 유저,B4_관계망_발신_수신,LightGBM
first_received_vote_day_d0_3,14,첫 수신 발생일,repeat_paid,repeat_paid_d4_plus,결제 유저,B4_관계망_발신_수신,LightGBM
received_vote_yn_d0_3,7,D0-D3 수신 경험 여부,repeat_paid,repeat_paid_d4_plus,결제 유저,B4_관계망_발신_수신,LightGBM
sent_vote_experience_d0_3,0,D0-D3 발신 경험 여부,repeat_paid,repeat_paid_d4_plus,결제 유저,B4_관계망_발신_수신,LightGBM
sent_vote_distinct_chosen_users_d0_3,0,D0-D3 선택 고유 유저 수,repeat_paid,repeat_paid_d4_plus,결제 유저,B4_관계망_발신_수신,LightGBM
sent_vote_active_days_d0_3,0,D0-D3 발신 활동일수,repeat_paid,repeat_paid_d4_plus,결제 유저,B4_관계망_발신_수신,LightGBM
sent_vote_complete_count_d0_3,0,D0-D3 완료 발신 수,repeat_paid,repeat_paid_d4_plus,결제 유저,B4_관계망_발신_수신,LightGBM
sent_vote_count_d0_3,0,D0-D3 발신 투표 수,repeat_paid,repeat_paid_d4_plus,결제 유저,B4_관계망_발신_수신,LightGBM
sent_vote_distinct_questions_d0_3,0,D0-D3 고유 질문 수,repeat_paid,repeat_paid_d4_plus,결제 유저,B4_관계망_발신_수신,LightGBM
sent_vote_complete_rate_d0_3,0,D0-D3 발신 완료율,repeat_paid,repeat_paid_d4_plus,결제 유저,B4_관계망_발신_수신,LightGBM
point_use_after_received_vote_yn_d0_3,0,수신 후 포인트 사용 여부,repeat_paid,repeat_paid_d4_plus,결제 유저,B4_관계망_발신_수신,LightGBM
point_use_after_received_vote_count_d0_3,0,수신 후 포인트 사용 횟수,repeat_paid,repeat_paid_d4_plus,결제 유저,B4_관계망_발신_수신,LightGBM
grade_users_d0_3,2397,D0-D3 같은 학년 유저 수,high_value_paid,high_value_paid_d4_plus,결제 유저,B1_관계망,LightGBM
friends_d3,2282,D3 친구 수,high_value_paid,high_value_paid_d4_plus,결제 유저,B1_관계망,LightGBM
grade_active_users_d0_3,1266,D0-D3 같은 학년 활동 유저 수,high_value_paid,high_value_paid_d4_plus,결제 유저,B1_관계망,LightGBM
class_users_d0_3,1214,D0-D3 같은 반 유저 수,high_value_paid,high_value_paid_d4_plus,결제 유저,B1_관계망,LightGBM
