user_id,sender_group,logical_invalid_reasons,active_days_d0_28,active_days_d8_28,payment_active_days_d0_28,payment_active_days_d8_28,sent_vote_active_days_d0,sent_vote_active_days_d0_1,sent_vote_active_days_d0_3,sent_vote_active_days_d0_7,sent_vote_active_days_d0_14,sent_vote_active_days_d0_28,hackle_question_active_days_d0_7
1578391,보낸 투표 경험 무,D0-D7 Hackle 활동일수는 최대 8일,8.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0
1578392,보낸 투표 경험 무,D0-D7 Hackle 활동일수는 최대 8일,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0
1578393,보낸 투표 경험 무,D0-D7 Hackle 활동일수는 최대 8일,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0
1578395,보낸 투표 경험 무,D0-D7 Hackle 활동일수는 최대 8일,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0
1578397,보낸 투표 경험 무,D0-D7 Hackle 활동일수는 최대 8일,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0
1578399,보낸 투표 경험 무,D0-D7 Hackle 활동일수는 최대 8일,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,32.0
1578400,보낸 투표 경험 무,D0-D7 Hackle 활동일수는 최대 8일,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0
1578403,보낸 투표 경험 무,D0-D7 Hackle 활동일수는 최대 8일,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0
1578411,보낸 투표 경험 무,D0-D7 Hackle 활동일수는 최대 8일,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
1578416,보낸 투표 경험 무,D0-D7 Hackle 활동일수는 최대 8일,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0
1578418,보낸 투표 경험 무,D0-D7 Hackle 활동일수는 최대 8일,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0
1578420,보낸 투표 경험 무,D0-D7 Hackle 활동일수는 최대 8일,6.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0
1578423,보낸 투표 경험 무,D0-D7 Hackle 활동일수는 최대 8일,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,9.0
1578424,보낸 투표 경험 무,D0-D7 Hackle 활동일수는 최대 8일,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0
1578426,보낸 투표 경험 무,D0-D7 Hackle 활동일수는 최대 8일,8.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,27.0
1578427,보낸 투표 경험 무,D0-D7 Hackle 활동일수는 최대 8일,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0
1578428,보낸 투표 경험 무,D0-D7 Hackle 활동일수는 최대 8일,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,12.0
1578429,보낸 투표 경험 무,D0-D7 Hackle 활동일수는 최대 8일,10.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0
1578430,보낸 투표 경험 무,D0-D7 Hackle 활동일수는 최대 8일,15.0,11.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0
1578431,보낸 투표 경험 무,D0-D7 Hackle 활동일수는 최대 8일,8.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,23.0
1578432,보낸 투표 경험 무,D0-D7 Hackle 활동일수는 최대 8일,3.0,1.0,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0
1578441,보낸 투표 경험 무,D0-D7 Hackle 활동일수는 최대 8일,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,16.0
1578444,보낸 투표 경험 무,D0-D7 Hackle 활동일수는 최대 8일,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0
1578445,보낸 투표 경험 무,D0-D7 Hackle 활동일수는 최대 8일,8.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,35.0
1578447,보낸 투표 경험 무,D0-D7 Hackle 활동일수는 최대 8일,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0
1578450,보낸 투표 경험 무,D0-D7 Hackle 활동일수는 최대 8일,4.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,24.0
1578451,보낸 투표 경험 무,D0-D7 Hackle 활동일수는 최대 8일,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,15.0
1578454,보낸 투표 경험 무,D0-D7 Hackle 활동일수는 최대 8일,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0
1578455,보낸 투표 경험 무,D0-D7 Hackle 활동일수는 최대 8일,4.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0
1578460,보낸 투표 경험 무,D0-D7 Hackle 활동일수는 최대 8일,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,30.0
1578461,보낸 투표 경험 무,D0-D7 Hackle 활동일수는 최대 8일,7.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0
1578466,보낸 투표 경험 무,D0-D7 Hackle 활동일수는 최대 8일,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,20.0
1578468,보낸 투표 경험 무,D0-D7 Hackle 활동일수는 최대 8일,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0
1578470,보낸 투표 경험 무,D0-D7 Hackle 활동일수는 최대 8일,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.0
1578475,보낸 투표 경험 무,D0-D7 Hackle 활동일수는 최대 8일,5.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,17.0
1578481,보낸 투표 경험 무,D0-D7 Hackle 활동일수는 최대 8일,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,33.0
1578482,보낸 투표 경험 무,D0-D7 Hackle 활동일수는 최대 8일,3.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,19.0
1578484,보낸 투표 경험 무,D0-D7 Hackle 활동일수는 최대 8일,7.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,36.0
1578485,보낸 투표 경험 무,D0-D7 Hackle 활동일수는 최대 8일,2.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,10.0
1578492,보낸 투표 경험 무,D0-D7 Hackle 활동일수는 최대 8일,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,13.0
1578493,보낸 투표 경험 무,D0-D7 Hackle 활동일수는 최대 8일,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,42.0
1578494,보낸 투표 경험 무,D0-D7 Hackle 활동일수는 최대 8일,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,26.0
1578495,보낸 투표 경험 무,D0-D7 Hackle 활동일수는 최대 8일,3.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0
1578497,보낸 투표 경험 무,D0-D7 Hackle 활동일수는 최대 8일,4.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,29.0
1578498,보낸 투표 경험 무,D0-D7 Hackle 활동일수는 최대 8일,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,28.0
