friend_date,status,friend_request_count,send_user_count,receive_user_count
2023-11-17,R,7,6,7
2023-11-18,A,14,12,14
2023-11-18,P,645,64,644
2023-11-18,R,25,3,25
2023-11-19,R,9,8,9
2023-11-19,P,653,50,648
2023-11-19,A,19,15,19
2023-11-20,A,15,11,14
2023-11-20,P,325,41,324
2023-11-20,R,2,2,2
2023-11-21,A,12,7,12
2023-11-21,P,381,40,350
2023-11-21,R,29,4,28
2023-11-22,R,4,3,4
2023-11-22,A,6,5,6
2023-11-22,P,244,27,244
2023-11-23,A,8,8,7
2023-11-23,P,167,19,166
2023-11-23,R,2,2,2
2023-11-24,A,7,5,7
2023-11-24,P,228,24,226
2023-11-25,A,12,8,10
2023-11-25,P,363,43,354
2023-11-25,R,7,6,7
2023-11-26,R,2,2,2
2023-11-26,A,8,6,8
2023-11-26,P,241,31,238
2023-11-27,P,151,25,151
2023-11-27,R,1,1,1
2023-11-27,A,6,5,6
2023-11-28,R,1,1,1
2023-11-28,A,9,5,9
2023-11-28,P,160,16,159
2023-11-29,A,6,5,6
2023-11-29,P,107,12,106
2023-11-29,R,4,4,4
2023-11-30,A,10,6,6
2023-11-30,P,130,19,120
2023-11-30,R,2,2,2
2023-12-01,A,10,7,10
2023-12-01,P,219,18,218
2023-12-02,A,8,7,7
2023-12-02,P,83,23,81
2023-12-03,A,3,3,3
2023-12-03,P,206,27,206
2023-12-03,R,4,3,4
2023-12-04,P,214,15,213
2023-12-04,A,6,5,6
2023-12-05,A,16,6,16
2023-12-05,P,125,14,124
2023-12-05,R,4,4,4
2023-12-06,A,5,4,5
2023-12-06,P,181,23,180
2023-12-06,R,2,2,2
2023-12-07,P,249,27,249
2023-12-07,A,15,8,11
2023-12-07,R,3,3,3
2023-12-08,A,14,10,8
2023-12-08,P,296,40,289
2023-12-08,R,2,2,2
2023-12-09,P,311,43,304
2023-12-09,R,2,2,2
2023-12-09,A,17,9,16
2023-12-10,R,4,3,3
2023-12-10,P,218,25,218
2023-12-10,A,9,6,9
2023-12-11,A,3,3,3
2023-12-11,P,134,15,134
2023-12-11,R,18,3,18
2023-12-12,A,4,1,4
2023-12-12,P,43,15,42
2023-12-13,P,223,21,223
2023-12-13,R,1,1,1
2023-12-13,A,8,6,8
2023-12-14,A,6,3,6
2023-12-14,P,214,18,214
2023-12-14,R,1,1,1
2023-12-15,P,20,11,20
2023-12-15,R,2,2,2
2023-12-16,P,111,14,111
2023-12-16,A,2,2,2
2023-12-17,R,2,2,2
2023-12-17,A,10,9,10
2023-12-17,P,169,19,167
2023-12-18,A,3,3,3
2023-12-18,P,197,21,197
2023-12-18,R,1,1,1
2023-12-19,A,7,6,7
2023-12-19,P,89,10,89
2023-12-19,R,1,1,1
2023-12-20,A,8,3,8
2023-12-20,P,102,10,96
2023-12-20,R,1,1,1
2023-12-21,A,5,5,5
2023-12-21,P,149,14,148
2023-12-21,R,2,1,2
2023-12-22,R,4,1,4
2023-12-22,P,59,8,59
2023-12-22,A,7,3,7
2023-12-23,A,6,4,5
2023-12-23,P,81,14,81
2023-12-23,R,1,1,1
2023-12-24,A,2,2,2
2023-12-24,P,126,10,125
2023-12-24,R,4,4,4
2023-12-25,A,5,3,5
2023-12-25,P,125,10,125
2023-12-25,R,2,2,2
2023-12-26,A,3,2,3
2023-12-26,P,116,12,116
2023-12-26,R,2,2,2
